150
37.439352 541.209070
x_27_129 = 1.000000
x_29_81 = 1.000000
x_29_86 = 1.000000
x_30_63 = 1.000000
x_30_96 = 1.000000
x_31_123 = 1.000000
x_32_131 = 1.000000
x_33_105 = 1.000000
x_33_126 = 1.000000
x_34_103 = 1.000000
x_35_93 = 1.000000
x_35_124 = 1.000000
x_36_61 = 1.000000
x_36_69 = 1.000000
x_37_42 = 1.000000
x_38_67 = 1.000000
x_39_57 = 1.000000
x_39_101 = 1.000000
x_40_53 = 1.000000
x_40_139 = 1.000000
x_41_57 = 1.000000
x_41_117 = 1.000000
x_42_120 = 1.000000
x_43_67 = 1.000000
x_43_109 = 1.000000
x_44_71 = 1.000000
x_44_115 = 1.000000
x_45_71 = 1.000000
x_46_90 = 1.000000
x_46_92 = 1.000000
x_47_110 = 1.000000
x_47_120 = 1.000000
x_48_63 = 1.000000
x_48_73 = 1.000000
x_49_144 = 1.000000
x_49_147 = 1.000000
x_50_58 = 1.000000
x_50_137 = 1.000000
x_51_109 = 1.000000
x_52_111 = 1.000000
x_52_126 = 1.000000
x_53_139 = 1.000000
x_54_92 = 1.000000
x_54_138 = 1.000000
x_55_58 = 1.000000
x_55_65 = 1.000000
x_56_90 = 1.000000
x_56_146 = 1.000000
x_60_66 = 1.000000
x_60_140 = 1.000000
x_62_149 = 1.000000
x_64_112 = 1.000000
x_64_136 = 1.000000
x_65_132 = 1.000000
x_68_119 = 1.000000
x_68_128 = 1.000000
x_69_127 = 1.000000
x_70_108 = 1.000000
x_70_135 = 1.000000
x_72_80 = 1.000000
x_72_145 = 1.000000
x_73_76 = 1.000000
x_74_123 = 1.000000
x_75_83 = 1.000000
x_76_87 = 1.000000
x_77_122 = 1.000000
x_77_133 = 1.000000
x_78_79 = 1.000000
x_79_121 = 1.000000
x_81_110 = 1.000000
x_82_95 = 1.000000
x_82_107 = 1.000000
x_83_141 = 1.000000
x_85_142 = 1.000000
x_86_135 = 1.000000
x_88_94 = 1.000000
x_88_121 = 1.000000
x_89_96 = 1.000000
x_91_106 = 1.000000
x_91_119 = 1.000000
x_93_124 = 1.000000
x_95_107 = 1.000000
x_97_143 = 1.000000
x_98_103 = 1.000000
x_99_114 = 1.000000
x_100_143 = 1.000000
x_101_116 = 1.000000
x_102_108 = 1.000000
x_102_114 = 1.000000
x_104_128 = 1.000000
x_105_111 = 1.000000
x_112_136 = 1.000000
x_115_150 = 1.000000
x_117_140 = 1.000000
x_118_127 = 1.000000
x_129_144 = 1.000000
x_130_148 = 1.000000
x_131_134 = 1.000000
x_132_137 = 1.000000
x_134_138 = 1.000000
x_145_147 = 1.000000
